,chr,pos
M112,2,52.88
M113,2,55.66
M114,2,56.39
M115,2,57.43
M116,2,58.18
M117,2,59.44
M118,2,65.18
M119,2,68.63
M120,2,68.95
M121,2,72.37
M122,2,75.13
M123,2,75.58
M124,2,77.44
M125,2,80.1
M126,2,83.3
M127,2,84.84
M128,2,85.91
M129,2,87.12
M130,2,87.42
M131,2,87.65
M132,2,87.96
M133,2,89.67
M134,2,90.88
M135,2,91.36
M136,2,95.02
M137,2,97.17
M138,2,97.26
M139,2,97.63
M140,2,104.44
M141,2,106.26
M142,2,107.76
M143,2,109.13
M144,2,111.06
M145,2,111.95
M146,2,114.82
M147,2,115.28
M148,2,120.26
M149,2,120.58
M150,2,121.39
M151,2,124.45
M152,2,126.96
M153,2,129.57
M154,2,129.93
M155,2,132.15
M156,2,133.24
M157,2,133.57
M158,2,134.76
M159,2,135.06
M160,2,135.34
M161,2,135.6
M162,2,136.29
M163,2,138.06
M164,2,138.96
M165,2,139
M166,2,139.52
M167,2,144.04
M168,2,147.63
M169,2,150.11
M170,2,150.5
M171,2,151.06
M172,2,155.13
M173,3,0.05
M174,3,0.28
M175,3,1.94
M176,3,2.91
M177,3,3.71
M178,3,6.38
M179,3,8.37
M180,3,9.31
M181,3,10.17
M182,3,10.65
M183,3,12.42
M184,3,12.78
M185,3,13.16
M186,3,13.96
M187,3,15.93
M188,3,18.87
M189,3,22.92
M190,3,23.27
M191,3,23.74
M192,3,24.56
M193,3,24.94
M194,3,25.94
M195,3,29.13
M196,3,31.33
M197,3,31.51
M198,3,32.12
M199,3,32.78
M200,3,35.5
M201,3,38.58
M202,3,38.77
M203,3,51.88
M204,3,54.97
M205,3,57.11
M206,3,61.9
M207,3,62.26
M208,3,62.68
M209,3,63.78
M210,3,63.8
M211,3,64.48
M212,3,68.92
M213,3,70.49
M214,3,72.09
M215,3,75.17
M216,3,75.77
M217,3,77.95
M218,3,79.3
M219,3,89.84
M220,3,90.06
M221,3,90.61
M222,3,90.99
M223,3,92.36
M224,3,92.63
M225,3,93.14
M226,3,94.17
M227,3,94.49
M228,3,95.19
M229,3,95.62
M230,3,96.15
M231,3,96.61
M232,3,97.21
M233,3,101.47
M234,3,103.08
M235,3,103.94
M236,3,104.63
M237,3,105.3
M238,3,106.55
M239,3,107.97
M240,3,110.59
M241,3,113.6
M242,3,114.08
M243,3,115.37
M244,3,116.93
M245,3,117.68
M246,3,118.22
M247,3,118.56
M248,3,119.8
M249,3,120.24
M250,3,123.5
M251,3,123.79
M252,3,125.38
M253,3,127.39
M254,3,127.45
M255,3,129.32
M256,3,136.01
M257,3,136.43
M258,3,137.23
M259,3,138.31
M260,3,139.27
M261,3,139.44
M262,3,143.85
M263,3,146.58
M264,3,146.7
M265,3,146.81
M266,3,147.2
M267,3,147.88
M268,3,153.29
M269,3,156.64
M270,3,157.09
M271,3,157.49
M272,4,4.36
M273,4,5.38
M274,4,6.59
M275,4,6.63
M276,4,7.42
M277,4,7.96
M278,4,8.9
M279,4,9.11
M280,4,9.75
M281,4,11.84
M282,4,13.38
M283,4,14.23
M284,4,14.47
M285,4,15.16
M286,4,16.84
M287,4,18.58
M288,4,25.33
M289,4,25.66
M290,4,26.57
M291,4,28.19
M292,4,29.79
M293,4,31.01
M294,4,31.63
M295,4,32.07
M296,4,33.17
M297,4,34.33
M298,4,34.42
M299,4,36.18
M300,4,43.22
M301,4,43.57
M302,4,44.15
M303,4,44.24
M304,4,44.56
M305,4,44.98
M306,4,45.43
M307,4,45.67
M308,4,46.38
M309,4,47.81
M310,4,49.53
M311,4,58.9
M312,4,59.16
M313,4,72.27
M314,4,75.59
M315,4,76.74
M316,4,77.15
M317,4,78.14
M318,4,79.76
M319,4,82.46
M320,4,82.64
M321,4,84.04
M322,4,84.6
M323,4,85.62
M324,4,86.13
M325,4,86.41
M326,4,86.98
M327,4,87.34
M328,4,87.54
M329,4,88.22
M330,4,89.46
M331,4,89.62
M332,4,90.62
M333,4,91.21
M334,4,94.94
M335,4,95.27
M336,4,95.4
M337,4,96.43
M338,4,96.79
M339,4,99.43
M340,4,99.8
M341,4,101.04
M342,4,101.83
M343,4,102.63
M344,4,103.02
M345,4,103.29
M346,4,103.83
M347,4,105.02
M348,4,107.66
M349,4,109.69
M350,4,113.94
M351,4,115.69
M352,4,116.98
M353,4,120.22
M354,4,121.5
M355,4,124.17
M356,4,125.4
M357,4,125.78
M358,4,126.18
M359,4,126.99
M360,4,127.26
M361,4,127.41
M362,4,129.47
M363,4,129.77
M364,4,132.03
M365,4,133.04
M366,4,134.19
M367,4,134.51
M368,4,134.65
M369,4,134.82
M370,4,135.53
M371,4,135.88
M372,4,136.96
M373,4,137.47
M374,4,137.67
M375,4,137.86
M376,4,138.55
M377,4,138.77
M378,4,139.34
M379,4,142.15
M380,4,145.65
M381,4,147.01
M382,4,147.86
M383,4,148.47
M384,4,148.61
M385,4,150.87
M386,4,152.02
M387,4,152.93
M388,4,153.28
M389,4,154.74
M390,4,155.62
M391,4,155.96
M392,4,156.34
M393,4,158.7
M394,5,1.56
M395,5,6.12
M396,5,6.78
M397,5,7.32
M398,5,7.54
M399,5,7.99
M400,5,13.54
M401,5,14.5
M402,5,15.05
M403,5,15.28
M404,5,16.1
M405,5,16.34
M406,5,16.61
M407,5,18.59
M408,5,18.6
M409,5,20.66
M410,5,20.84
M411,5,30.53
M412,5,31.81
M413,5,32.83
M414,5,33.26
M415,5,34.85
M416,5,35.01
M417,5,35.56
M418,5,36.24
M419,5,37.4
M420,5,49.07
M421,5,50.49
M422,5,51.26
M423,5,52.33
M424,5,53.14
M425,5,53.45
M426,5,53.79
M427,5,55.56
M428,5,56.08
M429,5,58.85
M430,5,59.05
M431,5,59.79
M432,5,59.93
M433,5,60.8
M434,5,65.24
M435,5,65.71
M436,5,66.32
M437,5,68.53
M438,5,75.74
M439,5,77.22
M440,5,80.52
M441,5,81.6
M442,5,83.53
M443,5,84
M444,5,85.64
M445,5,88.86
M446,5,89.04
M447,5,91.45
M448,5,92.04
M449,5,93.08
M450,5,96.38
M451,5,98.99
M452,5,99.28
M453,5,99.59
M454,5,100.27
M455,5,103.27
M456,5,107.09
M457,5,108.97
M458,5,109.95
M459,5,112.8
M460,5,117.08
M461,5,117.7
M462,5,117.96
M463,5,118.89
M464,5,121.06
M465,5,121.46
M466,5,126.91
M467,5,129.54
M468,5,141.21
M469,5,141.62
M470,5,141.81
M471,5,142.49
M472,5,144.36
M473,5,146.78
M474,5,151.55
M475,5,153.79
M476,5,155.25
M477,5,155.97
M478,5,156.69
M479,6,1.33
M480,6,4.84
M481,6,7.8
M482,6,8.99
M483,6,9.14
M484,6,9.29
M485,6,11.62
M486,6,13.65
M487,6,14.89
M488,6,15.38
M489,6,16.21
M490,6,16.83
M491,6,19.66
M492,6,20.91
M493,6,21.83
M494,6,23.09
M495,6,24.66
M496,6,25.04
M497,6,26.48
M498,6,26.83
M499,6,27.75
M500,6,28.06
M501,6,35.63
M502,6,35.89
M503,6,37.47
M504,6,37.79
M505,6,38.04
M506,6,39.76
M507,6,41.77
M508,6,42.4
M509,6,43.5
M510,6,44.12
M511,6,44.75
M512,6,45.14
M513,6,46.23
M514,6,46.73
M515,6,47.76
M516,6,48.12
M517,6,48.55
M518,6,48.93
M519,6,53.95
M520,6,56.25
M521,6,64.31
M522,6,65.3
M523,6,67
M524,6,67.95
M525,6,68.98
M526,6,69.62
M527,6,70.22
M528,6,70.96
M529,6,71.55
M530,6,72.15
M531,6,72.33
M532,6,73.67
M533,6,86.13
M534,6,86.59
M535,6,89.5
M536,6,90.26
M537,6,90.52
M538,6,91.34
M539,6,91.64
M540,6,94.17
M541,6,96.78
M542,6,96.8
M543,6,97.83
M544,6,99.86
M545,6,101.54
M546,6,102.3
M547,6,110.67
M548,6,110.91
M549,6,111.23
M550,6,111.75
M551,6,112.79
M552,6,115.34
M553,6,123.78
M554,6,124.88
M555,6,126.98
M556,6,128.44
M557,6,128.87
M558,6,129.08
M559,6,129.68
M560,6,131.47
M561,6,132.12
M562,6,132.37
M563,6,132.9
M564,6,135.7
M565,6,136.21
M566,6,136.47
M567,6,137.43
M568,6,139.76
M569,6,140.84
M570,6,142.04
M571,6,142.37
M572,6,142.78
M573,6,143.53
M574,6,144.82
M575,6,146.46
M576,6,147
M577,6,148.13
M578,6,148.6
M579,6,148.81
M580,6,149.66
M581,6,151
M582,6,151.81
M583,6,157.63
M584,6,159.03
M585,7,0.68
M586,7,0.97
M587,7,2.59
M588,7,3.74
M589,7,3.9
M590,7,6.03
M591,7,7.14
M592,7,7.22
M593,7,8.13
M594,7,8.24
M595,7,8.48
M596,7,10.06
M597,7,10.85
M598,7,11.98
M599,7,12.27
M600,7,12.97
M601,7,14.65
M602,7,15.81
M603,7,16.04
M604,7,18.63
M605,7,19
M606,7,19.39
M607,7,19.88
M608,7,20.52
M609,7,20.73
M610,7,22.62
M611,7,23.87
M612,7,24.99
M613,7,25.39
M614,7,26.33
M615,7,28.29
M616,7,28.64
M617,7,29.19
M618,7,29.75
M619,7,29.95
M620,7,30.79
M621,7,34.9
M622,7,41.38
M623,7,41.6
M624,7,45.1
M625,7,45.41
M626,7,45.76
M627,7,46.83
M628,7,47.06
M629,7,47.55
M630,7,48.88
M631,7,49.05
M632,7,50.61
M633,7,52.8
M634,7,55.66
M635,7,56.09
M636,7,56.43
M637,7,57.31
M638,7,57.62
M639,7,57.88
M640,7,58.52
M641,7,59.96
M642,7,60.18
M643,7,60.46
M644,7,60.7
M645,7,60.93
M646,7,64.76
M647,7,66.16
M648,7,67.15
M649,7,70.17
M650,7,71.23
M651,7,71.62
M652,7,72.13
M653,7,73.66
M654,7,73.9
M655,7,74.39
M656,7,75.22
M657,7,78.15
M658,7,79.81
M659,7,80.37
M660,7,80.48
M661,7,81.35
M662,7,82.02
M663,7,82.99
M664,7,83.47
M665,7,84.49
M666,7,84.94
M667,7,86.49
M668,7,88.51
M669,7,88.8
M670,7,89.23
M671,7,90.52
M672,7,91.26
M673,7,92.06
M674,7,92.35
M675,7,93.03
M676,7,95.31
M677,7,95.54
M678,7,95.78
M679,7,97.39
M680,7,100.65
M681,7,101.04
M682,7,101.71
M683,7,102.56
M684,7,103.99
M685,7,104.53
M686,7,104.83
M687,7,106.31
M688,7,110.08
M689,7,110.35
M690,7,116.31
M691,7,116.79
M692,7,117.43
M693,7,117.6
M694,7,117.99
M695,7,118.5
M696,7,119.3
M697,7,119.46
M698,7,119.96
M699,7,120.09
M700,7,120.91
M701,7,121.68
M702,7,122.49
M703,7,123.04
M704,7,124
M705,7,127.02
M706,7,130.19
M707,7,130.21
M708,7,131.38
M709,7,131.4
M710,7,133.56
M711,7,134.15
M712,7,134.5
M713,7,134.99
M714,7,136.93
M715,7,139.4
M716,7,140.19
M717,7,140.74
M718,7,142.01
M719,7,145.01
M720,7,146.74
M721,7,147.59
M722,7,147.71
M723,7,147.93
M724,7,148.38
M725,7,148.59
M726,7,148.71
M727,7,149
M728,7,150.32
M729,7,150.44
M730,7,150.9
M731,7,151.32
M732,7,151.93
M733,7,152.01
M734,7,157.13
M735,7,157.54
M736,7,158.87
M737,7,159.4
M738,7,159.66
M739,8,2.13
M740,8,2.4
M741,8,2.63
M742,8,3.51
M743,8,3.85
M744,8,5.52
M745,8,6.39
M746,8,6.49
M747,8,7.39
M748,8,9.22
M749,8,13.07
M750,8,13.2
M751,8,13.78
M752,8,14.13
M753,8,16.64
M754,8,18.11
M755,8,18.56
M756,8,18.85
M757,8,19.4
M758,8,20.21
M759,8,20.48
M760,8,21.17
M761,8,22.45
M762,8,29.48
M763,8,29.67
M764,8,31.04
M765,8,34.04
M766,8,35.61
M767,8,36.34
M768,8,36.47
M769,8,36.76
M770,8,40.68
M771,8,41.17
M772,8,41.81
M773,8,42.45
M774,8,43.47
M775,8,45.47
M776,8,46.14
M777,8,46.58
M778,8,47.07
M779,8,47.28
M780,8,47.9
M781,8,50.68
M782,8,51.42
M783,8,52.17
M784,8,52.92
M785,8,53.29
M786,8,54.06
M787,8,54.98
M788,8,55.89
M789,8,57.14
M790,8,57.45
M791,8,58.45
M792,8,58.75
M793,8,59.12
M794,8,59.42
M795,8,60.78
M796,8,60.98
M797,8,61.34
M798,8,62.47
M799,8,63.1
M800,8,69.77
M801,8,70.82
M802,8,74.94
M803,8,76.04
M804,8,77.08
M805,8,78.61
M806,8,79.13
M807,8,81.4
M808,8,82.77
M809,8,83.54
M810,8,84.52
M811,8,86.69
M812,8,86.92
M813,8,87.27
M814,8,87.47
M815,8,88.31
M816,8,89.18
M817,8,90.24
M818,8,91.36
M819,8,92.57
M820,8,92.96
M821,8,93.44
M822,8,94.05
M823,8,97.23
M824,8,98.32
M825,8,98.76
M826,8,98.89
M827,8,101.12
M828,8,102.95
M829,8,103
M830,8,103.72
M831,8,106.32
M832,8,106.66
M833,8,107.31
M834,8,107.81
M835,8,108.16
M836,8,109.84
M837,8,115.17
M838,8,115.97
M839,8,117.46
M840,8,118.16
M841,8,119.11
M842,8,119.68
M843,8,123
M844,8,123.22
M845,8,124.24
M846,8,124.58
M847,8,128.04
M848,8,132.93
M849,8,134.37
M850,8,138.07
M851,8,138.4
M852,8,139.48
M853,8,142.5
M854,8,142.72
M855,8,143.72
M856,8,144.91
M857,8,147.11
M858,8,148.28
M859,8,150.76
M860,8,151.12
M861,8,151.5
M862,8,153.09
M863,8,155.86
M864,8,156.15
M865,8,156.46
M866,8,157.6
M867,8,158.56
M868,8,158.75
M869,9,2.2
M870,9,4.1
M871,9,7.12
M872,9,7.3
M873,9,7.42
M874,9,10.44
M875,9,11.94
M876,9,12.1
M877,9,14.19
M878,9,16.42
M879,9,17.49
M880,9,17.69
M881,9,18.53
M882,9,19.84
M883,9,21.5
M884,9,21.63
M885,9,22.07
M886,9,22.78
M887,9,22.98
M888,9,23.95
M889,9,24.18
M890,9,25.17
M891,9,26.41
M892,9,30.21
M893,9,32.82
M894,9,47.03
M895,9,47.83
M896,9,48.66
M897,9,49.38
M898,9,49.45
M899,9,49.89
M900,9,50.88
M901,9,51.05
M902,9,51.29
M903,9,52.14
M904,9,55.56
M905,9,56.59
M906,9,56.98
M907,9,57.93
M908,9,58.1
M909,9,58.56
M910,9,59.15
M911,9,60.31
M912,9,60.55
M913,9,60.63
M914,9,61.94
M915,9,63.3
M916,9,63.49
M917,9,64.87
M918,9,65.76
M919,9,67.49
M920,9,68.16
M921,9,69.77
M922,9,70.46
M923,9,74.94
M924,9,76.05
M925,9,77.06
M926,9,78.39
M927,9,79.15
M928,9,82.32
M929,9,82.51
M930,9,83.91
M931,9,84.71
M932,9,86.08
M933,9,89.23
M934,9,89.64
M935,9,93.1
M936,9,93.27
M937,9,98.28
M938,9,98.73
M939,9,99.64
M940,9,101.88
M941,9,103.98
M942,9,105.35
M943,9,105.43
M944,9,108.07
M945,9,113.66
M946,9,114.11
M947,9,116.11
M948,9,118.88
M949,9,119.73
M950,9,119.94
M951,9,122.15
M952,9,122.38
M953,9,122.66
M954,9,124.06
M955,9,124.35
M956,9,124.41
M957,9,124.77
M958,9,125.32
M959,9,126.2
M960,9,129.23
M961,9,129.88
M962,9,130.9
M963,9,131.09
M964,9,132.33
M965,9,132.91
M966,9,137.73
M967,9,138.05
M968,9,139.37
M969,9,139.95
M970,9,140.63
M971,9,141.15
M972,9,142.52
M973,9,143.36
M974,9,145.03
M975,9,145.39
M976,9,146.3
M977,9,146.6
M978,9,149.77
M979,9,150.03
M980,9,151.27
M981,9,151.8
M982,9,152.62
M983,9,152.92
M984,9,154.54
M985,9,155.04
M986,9,155.98
M987,9,158.11
M988,9,159.32
M989,9,159.47
M990,10,4.69
M991,10,5.18
M992,10,5.81
M993,10,6.66
M994,10,9.9
M995,10,12.17
M996,10,12.81
M997,10,15.04
M998,10,15.5
M999,10,15.82
M1000,10,18.7
M1001,10,20.15
M1002,10,21.81
M1003,10,22.47
M1004,10,22.87
M1005,10,26.07
M1006,10,26.73
M1007,10,41.92
M1008,10,43.92
M1009,10,44.15
M1010,10,46.5
M1011,10,47.01
M1012,10,48.68
M1013,10,49.13
M1014,10,49.41
M1015,10,49.67
M1016,10,51.2
M1017,10,51.85
M1018,10,53.2
M1019,10,54.31
M1020,10,56.46
M1021,10,58.32
M1022,10,60.13
M1023,10,60.66
M1024,10,61.63
M1025,10,61.92
M1026,10,63.62
M1027,10,69.62
M1028,10,69.8
M1029,10,72.32
M1030,10,72.56
M1031,10,73.16
M1032,10,75.57
M1033,10,75.85
M1034,10,76.16
M1035,10,76.84
M1036,10,77.26
M1037,10,77.86
M1038,10,78.16
M1039,10,79.27
M1040,10,85.31
M1041,10,85.93
M1042,10,87.21
M1043,10,88.18
M1044,10,90.13
M1045,10,92.23
M1046,10,93.11
M1047,10,93.44
M1048,10,94.41
M1049,10,94.86
M1050,10,95.44
M1051,10,95.87
M1052,10,96.03
M1053,10,96.85
M1054,10,98.61
M1055,10,100.29
M1056,10,100.44
M1057,10,102.28
M1058,10,103.84
M1059,10,106.61
M1060,10,107.26
M1061,10,109.01
M1062,10,111.13
M1063,10,111.81
M1064,10,114.26
M1065,10,115.29
M1066,10,115.43
M1067,10,115.65
M1068,10,116.87
M1069,10,117.18
M1070,10,118.16
M1071,10,118.79
M1072,10,119.17
M1073,10,119.54
M1074,10,120.66
M1075,10,122.85
M1076,10,123.4
M1077,10,125.34
M1078,10,125.42
M1079,10,127.06
M1080,10,128.68
M1081,10,128.94
M1082,10,129.39
M1083,10,131
M1084,10,131.23
M1085,10,132.08
M1086,10,134.38
M1087,10,134.65
M1088,10,134.94
M1089,10,135.49
M1090,10,137.58
M1091,10,139.95
M1092,10,140.06
M1093,10,140.2
M1094,10,140.55
M1095,10,140.91
M1096,10,141.04
M1097,10,141.42
M1098,10,141.68
M1099,10,143.55
M1100,10,144.01
M1101,10,144.86
M1102,10,145.09
M1103,10,146.9
M1104,10,147.74
M1105,10,148.89
M1106,10,149.13
M1107,10,149.92
M1108,10,150.69
M1109,10,152.29
M1110,10,152.75
M1111,10,153.32
M1112,10,155
M1113,10,155.25
M1114,10,155.81
M1115,10,156.67
M1116,10,157.15
M1117,10,158.61
